#	auflauf	Atas Auflauf	simple	note=Auf Wunsch etwas scharf, mit Currysauce, Knoblauch oder mit Käse überbacken. Alle Auflaufgerichte mit Pizzabrötchen.
60	Brokkoli-Auflauf	mit Brokkoli, Kartoffeln, Tomaten, in Rahmsauce	9
61	Spinat-Auflauf	mit Kartoffeln, Spinat, Tomaten, Zwiebeln, Knoblauch, Tomaten-Sahnesauce	9
62	Frischer Drehspieß-Auflauf	Kartoffeln, Drehspießfleisch, Weißkäse, Zwiebeln, Paprika, Sauce Hollandaise	9
63	Lachs Gemüse-Auflauf	mit Lachs, Zwiebeln, Paprika, Sahnesauce, Kartoffeln und Brokkoli	11
64	Garnelen Gemüse-Auflauf	mit Garnelen, Zwiebeln, Paprika, Sahnesauce, Kartoffeln und Brokkoli	11

#	baguettes	Baguettes	simple	note=Alle Baguettes sind mit Käse überbacken
65	Baguette mit Salami		7
66	Baguette mit Mozzarella		7
67	Baguette mit Putenschinken		7
68	Baguette mit Thunfisch		7
69	Baguette mit Drehspießfleisch		7
70	Baguette mit Sucuk		7.50
71	Baguette mit Hähnchenbrust und Paprika		8

#	pizza	Pizza	pizza	note=Alle Pizzen werden mit Tomatensauce, Käse und Oregano zubereitet. Alle Pizzen gerne extra scharf.
75	Margherita			8	17
76	Prosciutto	mit Geflügelschinken		9	20
77	Salami	mit Geflügelsalami		9	20
78	Tonno Cipolla	mit Thunfisch, Zwiebeln		9	20
79	Hawaii	Geflügelschinken, Ananas		9	22
80	Mista	Gefl. Schinken, Champignon, Geflügelsalami, gek. Ei		10	23
81	Italia	Geflügelschinken, Thunfisch, Gefl. Salami, gek. Ei		10	23
82	Pizza Manal	Drehspießfleisch und Hackfleisch		10	25
83	Siziliana	mit Zwiebeln, Paprika, Peperoni, Knoblauch		9	19
84	Pizza Spinat	mit Spinat, Mozzarella, Knoblauch, Spiegelei		9	20
85	Gemüse Pizza	mit Paprika, Brokkoli, Zwiebeln, Champignon		9	19
86	Scampi	mit Garnelen, Knoblauch		10	25
87	Lachs-Spinat Pizza	Lachs, Spinat, Sauce Hollandaise		9	25
88	Frutti di mare	Meeresfrüchte, Knoblauch		9	25
89	Bolognese	mit Käse, Hackfleischsauce, Spiegelei		9	20
90	Diavolo	mit Käse, Brokkoli, Geflügelschinken, gekochtes Ei, Spargel, Sauce Hollandaise		9	20	preis_unsicher=true
91	Drehspieß Pizza	Drehspießfleisch, Weißkäse, Zwiebeln, Hollandaise		9	23
92	Drehspieß Pizza mit Salat	Drehspießfleisch, Salat mit Joghurtsauce		9	23
93	Atas	gebratene Hähnchenbruststreifen, Paprika, scharfe Peperoni, Currysauce		10	25
94	Pizza al Racho	Tomaten, Käse, Thunfisch, Zwiebeln, scharfe Peperoni, Champignons		9	22
95	Pizza Sucuk	Sucuk (türk. Knoblauchwurst), Spiegelei		10	25
96	Pizza Malik	gebratene Hähnchenbruststreifen, fr. Champignons, fr. Paprika		10	25
97	Amerikan Crust	verschiedene Zutaten		15	25

#	calzone	Pizza Gefüllt Calzone	simple	note=Alle Calzone gerne mit Knoblauch oder scharf!
98	Salami Calzone	mit Gefl. Schinken, Champignon, Gefl. Salami	9
99	Royal Calzone	mit Gefl. Salami, Zwiebeln, Paprika, Drehspießfleisch	10

#	pizzabroetchen	Pizzabrötchen	simple	note=Alle Pizzabrötchen werden wahlweise mit Tzatziki, Chili, Joghurtsauce oder Cocktailsauce serviert.
100	Pizzabrötchen		3.50
101	Pizzabrötchen mit Käse		8
102	Pizzabrötchen mit Thunfisch		9
103	Pizzabrötchen mit Salami (Geflügel)		9
104	Pizzabrötchen mit Schinken (Geflügel)		9
105	Pizzabrötchen mit Weißkäse und Spinat		9
106	Pizzabrötchen mit Sucuk		9
107	Pizzabrötchen mit Hähnchenbruststreifen und Paprika		9

#	snacks	Snacks	simple
109	Pommes klein		3.50
110	Pommes groß		4
111	Kroketten	8 Stk.	4
112	Chicken Nuggets	6 Stk.	4
113	Kartoffel Twister		4.50
114	Mantaplatte		7
115	Bratwurst		3
116	Hamburger		5
117	Cheeseburger		5.50

#	salat	Salat	simple	note=Zu allen Salaten werden zusätzlich 4 Stk. Pizzabrötchen serviert. Wahlweise mit Tzatziki, Cocktail, Joghurtsauce, Essig, Öl oder Balsamico als Dressing.
121	Mista	Tomaten, Gurken, Eisbergsalat	6
122	Gemischter Salat	Tomaten, Gurken, Eisbergsalat, Zwiebeln, Mais, Oliven, Peperoni	8
123	Bauernsalat	Eisbergsalat, Gurken, Tomaten, Paprika, Weißkäse	8
124	Atas-Salat	mit gebratenen Hähnchenbruststreifen, Paprika, Champignons und Zwiebeln	9
125	Della Casa	Tomaten, Gurken, Eisbergsalat, Käse, Zwiebeln, Thunfisch, gekochtes Ei	7
126	Chickensalat	Tomaten, Gurken, Eisbergsalat, Weißkäse, Paprika, Mais, Hähnchenbruststreifen	9
127	Drehspießfleischsalat	Tomaten, Gurken, Eisbergsalat, Drehspießfleisch, Weißkäse	9

#	extras	Extras	simple
130	Ketchup		0.50
131	Mayonnaise		0.50
132	Cocktailsauce		1
133	Tzatziki		1
134	Chili Sauce		1
135	BBQ-Sauce		1
136	Hollandaise Sauce		1

#	getraenke	Getränke	simple	nummer_zeigen=false
	Mineralwasser	0,33 l	1
	Coca Cola	0,33 l	2
	Coca Cola Light	0,33 l	2
	Coca Cola Life	0,33 l	2
	Fanta	0,33 l	2
	Sprite	0,33 l	2
	Mezzo-Mix	0,33 l	2
	Uludag zzgl. Pfand	0,33 l	2
	Ayran	0,2 l	1.80
	Durstlöscher		1.80
	Coca Cola Flasche zzgl. Pfand	1 l	3.50
	Coca Cola Light Flasche zzgl. Pfand	1 l	3.50
	Fanta Flasche zzgl. Pfand	1 l	3.50
	Sprite Flasche zzgl. Pfand	1 l	3.50
